taz,geog_name,district,lat_1,lon_1
323,King County,North Seattle-Shoreline,47.51978,-122.138064
324,King County,North Seattle-Shoreline,47.51978,-122.138064
325,King County,North Seattle-Shoreline,47.51978,-122.138064
326,King County,North Seattle-Shoreline,47.51978,-122.138064
327,King County,North Seattle-Shoreline,47.51978,-122.138064
328,King County,North Seattle-Shoreline,47.51978,-122.138064
329,King County,North Seattle-Shoreline,47.51978,-122.138064
330,King County,North Seattle-Shoreline,47.51978,-122.138064
331,King County,Seattle CBD,47.51978,-122.138064
332,King County,Seattle CBD,47.51978,-122.138064
333,King County,Seattle CBD,47.51978,-122.138064
334,King County,Seattle CBD,47.51978,-122.138064
335,King County,Seattle CBD,47.51978,-122.138064
336,King County,Seattle CBD,47.51978,-122.138064
337,King County,Seattle CBD,47.51978,-122.138064
338,King County,Seattle CBD,47.51978,-122.138064
339,King County,Seattle CBD,47.51978,-122.138064
340,King County,Seattle CBD,47.51978,-122.138064
341,King County,Seattle CBD,47.51978,-122.138064
342,King County,Seattle CBD,47.51978,-122.138064
343,King County,Seattle CBD,47.51978,-122.138064
344,King County,Seattle CBD,47.51978,-122.138064
345,King County,Seattle CBD,47.51978,-122.138064
346,King County,Seattle CBD,47.51978,-122.138064
347,King County,Seattle CBD,47.51978,-122.138064
348,King County,Seattle CBD,47.51978,-122.138064
349,King County,Seattle CBD,47.51978,-122.138064
350,King County,Seattle CBD,47.51978,-122.138064
351,King County,Seattle CBD,47.51978,-122.138064
352,King County,Seattle CBD,47.51978,-122.138064
353,King County,Seattle CBD,47.51978,-122.138064
354,King County,Seattle CBD,47.51978,-122.138064
355,King County,Seattle CBD,47.51978,-122.138064
356,King County,Seattle CBD,47.51978,-122.138064
357,King County,Seattle CBD,47.51978,-122.138064
358,King County,Seattle CBD,47.51978,-122.138064
359,King County,Seattle CBD,47.51978,-122.138064
360,King County,Seattle CBD,47.51978,-122.138064
361,King County,Seattle CBD,47.51978,-122.138064
362,King County,Seattle CBD,47.51978,-122.138064
363,King County,Seattle CBD,47.51978,-122.138064
364,King County,Seattle CBD,47.51978,-122.138064
365,King County,Seattle CBD,47.51978,-122.138064
366,King County,Seattle CBD,47.51978,-122.138064
367,King County,Seattle CBD,47.51978,-122.138064
368,King County,Seattle CBD,47.51978,-122.138064
369,King County,Seattle CBD,47.51978,-122.138064
370,King County,Seattle CBD,47.51978,-122.138064
371,King County,Seattle CBD,47.51978,-122.138064
372,King County,Seattle CBD,47.51978,-122.138064
373,King County,Seattle CBD,47.51978,-122.138064
374,King County,Seattle CBD,47.51978,-122.138064
375,King County,Seattle CBD,47.51978,-122.138064
376,King County,Seattle CBD,47.51978,-122.138064
377,King County,Seattle CBD,47.51978,-122.138064
378,King County,Seattle CBD,47.51978,-122.138064
379,King County,Seattle CBD,47.51978,-122.138064
380,King County,Seattle CBD,47.51978,-122.138064
381,King County,Seattle CBD,47.51978,-122.138064
382,King County,Seattle CBD,47.51978,-122.138064
383,King County,Seattle CBD,47.51978,-122.138064
384,King County,Seattle CBD,47.51978,-122.138064
385,King County,Seattle CBD,47.51978,-122.138064
386,King County,Seattle CBD,47.51978,-122.138064
387,King County,Seattle CBD,47.51978,-122.138064
388,King County,Seattle CBD,47.51978,-122.138064
389,King County,Seattle CBD,47.51978,-122.138064
390,King County,Seattle CBD,47.51978,-122.138064
391,King County,Seattle CBD,47.51978,-122.138064
392,King County,Seattle CBD,47.51978,-122.138064
393,King County,Seattle CBD,47.51978,-122.138064
394,King County,Seattle CBD,47.51978,-122.138064
395,King County,Seattle CBD,47.51978,-122.138064
396,King County,Seattle CBD,47.51978,-122.138064
397,King County,Seattle CBD,47.51978,-122.138064
398,King County,Seattle CBD,47.51978,-122.138064
399,King County,Seattle CBD,47.51978,-122.138064
400,King County,Seattle CBD,47.51978,-122.138064
401,King County,Seattle CBD,47.51978,-122.138064
402,King County,Seattle CBD,47.51978,-122.138064
403,King County,Seattle CBD,47.51978,-122.138064
404,King County,Seattle CBD,47.51978,-122.138064
405,King County,Seattle CBD,47.51978,-122.138064
406,King County,Seattle CBD,47.51978,-122.138064
407,King County,Seattle CBD,47.51978,-122.138064
408,King County,Seattle CBD,47.51978,-122.138064
409,King County,Seattle CBD,47.51978,-122.138064
410,King County,Seattle CBD,47.51978,-122.138064
411,King County,Seattle CBD,47.51978,-122.138064
412,King County,Seattle CBD,47.51978,-122.138064
413,King County,Seattle CBD,47.51978,-122.138064
414,King County,Seattle CBD,47.51978,-122.138064
415,King County,Seattle CBD,47.51978,-122.138064
416,King County,Seattle CBD,47.51978,-122.138064
417,King County,Seattle CBD,47.51978,-122.138064
418,King County,Seattle CBD,47.51978,-122.138064
419,King County,Seattle CBD,47.51978,-122.138064
420,King County,Seattle CBD,47.51978,-122.138064
421,King County,Seattle CBD,47.51978,-122.138064
422,King County,Seattle CBD,47.51978,-122.138064
423,King County,Seattle CBD,47.51978,-122.138064
424,King County,Seattle CBD,47.51978,-122.138064
425,King County,Seattle CBD,47.51978,-122.138064
426,King County,Seattle CBD,47.51978,-122.138064
427,King County,Seattle CBD,47.51978,-122.138064
428,King County,Seattle CBD,47.51978,-122.138064
429,King County,Seattle CBD,47.51978,-122.138064
430,King County,Seattle CBD,47.51978,-122.138064
431,King County,Seattle CBD,47.51978,-122.138064
432,King County,Seattle CBD,47.51978,-122.138064
433,King County,Seattle CBD,47.51978,-122.138064
434,King County,Seattle CBD,47.51978,-122.138064
435,King County,Seattle CBD,47.51978,-122.138064
436,King County,Seattle CBD,47.51978,-122.138064
437,King County,Seattle CBD,47.51978,-122.138064
438,King County,Seattle CBD,47.51978,-122.138064
439,King County,Seattle CBD,47.51978,-122.138064
440,King County,Seattle CBD,47.51978,-122.138064
441,King County,Seattle CBD,47.51978,-122.138064
442,King County,Seattle CBD,47.51978,-122.138064
443,King County,Seattle CBD,47.51978,-122.138064
444,King County,Seattle CBD,47.51978,-122.138064
445,King County,Seattle CBD,47.51978,-122.138064
446,King County,Seattle CBD,47.51978,-122.138064
447,King County,Seattle CBD,47.51978,-122.138064
448,King County,Seattle CBD,47.51978,-122.138064
449,King County,Seattle CBD,47.51978,-122.138064
450,King County,Seattle CBD,47.51978,-122.138064
451,King County,Seattle CBD,47.51978,-122.138064
452,King County,Seattle CBD,47.51978,-122.138064
453,King County,Seattle CBD,47.51978,-122.138064
454,King County,Seattle CBD,47.51978,-122.138064
455,King County,Seattle CBD,47.51978,-122.138064
456,King County,Seattle CBD,47.51978,-122.138064
457,King County,Seattle CBD,47.51978,-122.138064
458,King County,Seattle CBD,47.51978,-122.138064
459,King County,Seattle CBD,47.51978,-122.138064
460,King County,Seattle CBD,47.51978,-122.138064
461,King County,Seattle CBD,47.51978,-122.138064
462,King County,Seattle CBD,47.51978,-122.138064
463,King County,Seattle CBD,47.51978,-122.138064
464,King County,Seattle CBD,47.51978,-122.138064
465,King County,Seattle CBD,47.51978,-122.138064
466,King County,Seattle CBD,47.51978,-122.138064
467,King County,Seattle CBD,47.51978,-122.138064
468,King County,Seattle CBD,47.51978,-122.138064
469,King County,Seattle CBD,47.51978,-122.138064
470,King County,Seattle CBD,47.51978,-122.138064
471,King County,Seattle CBD,47.51978,-122.138064
472,King County,Seattle CBD,47.51978,-122.138064
473,King County,Seattle CBD,47.51978,-122.138064
474,King County,Seattle CBD,47.51978,-122.138064
475,King County,Seattle CBD,47.51978,-122.138064
476,King County,Seattle CBD,47.51978,-122.138064
477,King County,Seattle CBD,47.51978,-122.138064
478,King County,Seattle CBD,47.51978,-122.138064
479,King County,Seattle CBD,47.51978,-122.138064
480,King County,Seattle CBD,47.51978,-122.138064
481,King County,Seattle CBD,47.51978,-122.138064
482,King County,Seattle CBD,47.51978,-122.138064
483,King County,Seattle CBD,47.51978,-122.138064
484,King County,Seattle CBD,47.51978,-122.138064
485,King County,Seattle CBD,47.51978,-122.138064
486,King County,Seattle CBD,47.51978,-122.138064
487,King County,Seattle CBD,47.51978,-122.138064
488,King County,Seattle CBD,47.51978,-122.138064
489,King County,Seattle CBD,47.51978,-122.138064
490,King County,Seattle CBD,47.51978,-122.138064
491,King County,Seattle CBD,47.51978,-122.138064
492,King County,Seattle CBD,47.51978,-122.138064
493,King County,Seattle CBD,47.51978,-122.138064
494,King County,Seattle CBD,47.51978,-122.138064
495,King County,Seattle CBD,47.51978,-122.138064
