id,Operator,RouteNumber,Mode,Description,Code
271,1,MK106,b,MK106a,MK
272,1,MK106,b,MK106b,MK
273,1,MK106,b,MK106c,MK
274,1,MK106,b,MK106d,MK
275,1,MK106,b,MK106e,MK
276,1,MK106,b,MK106f,MK
277,1,MK107,b,MK107a,MK
278,1,MK107,b,MK107b,MK
279,1,MK107,b,MK107c,MK
280,1,MK110,b,MK110a,MK
281,1,MK110,b,MK110b,MK
282,1,MK111,b,MK111a,MK
283,1,MK111,b,MK111b,MK
284,1,MK113,b,MK113a,MK
285,1,MK114,b,MK114a,MK
286,1,MK116,b,MK116a,MK
287,1,MK118,b,MK118a,MK
288,1,MK118,b,MK118b,MK
289,1,MK118,b,MK118c,MK
290,1,MK118,b,MK118d,MK
291,1,MK119,b,MK119a,MK
292,1,MK119,b,MK119b,MK
293,1,MK119,b,MK119c,MK
294,1,MK120,b,MK120a,MK
295,1,MK120,b,MK120b,MK
296,1,MK120,b,MK120c,MK
297,1,MK121,b,MK121a,MK
298,1,MK121,b,MK121b,MK
299,1,MK121,b,MK121c,MK
300,1,MK121,b,MK121d,MK
301,1,MK122,b,MK122a,MK
302,1,MK122,b,MK122b,MK
303,1,MK123,b,MK123a,MK
304,1,MK124,b,MK124a,MK
305,1,MK124,b,MK124b,MK
306,1,MK124,b,MK124c,MK
307,1,MK124,b,MK124d,MK
308,1,MK124,b,MK124e,MK
309,1,MK125,b,MK125a,MK
310,1,MK125,b,MK125b,MK
311,1,MK125,b,MK125c,MK
312,1,MK125,b,MK125d,MK
313,1,MK125,b,MK125e,MK
314,1,MK128,b,MK128a,MK
315,1,MK128,b,MK128b,MK
316,1,MK129,b,MK129a,MK
317,1,MK129,b,MK129b,MK
318,1,MK131,b,MK131a,MK
319,1,MK131,b,MK131b,MK
320,1,MK131,b,MK131c,MK
321,1,MK132,b,MK132a,MK
322,1,MK132,b,MK132b,MK
323,1,MK132,b,MK132c,MK
324,1,MK132,b,MK132d,MK
325,1,MK133,b,MK133a,MK
326,1,MK134,b,MK134a,MK
327,1,MK134,b,MK134b,MK
328,1,MK139,b,MK139a,MK
329,1,MK139,b,MK139b,MK
330,1,MK140,b,MK140a,MK
331,1,MK140,b,MK140b,MK
332,1,MK140,b,MK140c,MK
333,1,MK140,b,MK140d,MK
334,1,MK143,b,MK143a,MK
335,1,MK148,b,MK148a,MK
336,1,MK148,b,MK148b,MK
337,1,MK149,b,MK149a,MK
338,1,MK149,b,MK149b,MK
339,1,MK150,b,MK150a,MK
340,1,MK150,b,MK150b,MK
341,1,MK150,b,MK150c,MK
342,1,MK152,b,MK152a,MK
343,1,MK153,b,MK153a,MK
344,1,MK153,b,MK153b,MK
345,1,MK154,b,MK154a,MK
346,1,MK155,b,MK155a,MK
347,1,MK155,b,MK155b,MK
348,1,MK156,b,MK156a,MK
349,1,MK156,b,MK156b,MK
350,1,MK156,b,MK156c,MK
351,1,MK156,b,MK156d,MK
352,1,MK156,b,MK156e,MK
353,1,MK157,b,MK157a,MK
354,1,MK158,b,MK158a,MK
355,1,MK159,b,MK159a,MK
356,1,MK161,b,MK161a,MK
357,1,MK162,b,MK162a,MK
358,1,MK162,b,MK162b,MK
359,1,MK164,b,MK164a,MK
360,1,MK164,b,MK164b,MK
361,1,MK166,b,MK166a,MK
