taz_p,rg_proposed
1898,Rural
1899,Rural
1900,UU
1901,Rural
1902,Rural
1903,Rural
1904,Rural
1905,Rural
1906,Rural
1907,Rural
1908,Rural
1909,Core
1910,Rural
1911,Rural
1912,Rural
1913,Rural
1914,UU
1915,Rural
1916,Rural
1917,Rural
1918,Rural
1919,CitiesTowns
1920,Rural
1921,Rural
1922,Rural
1923,Rural
1924,Rural
1925,Rural
1926,Rural
1927,Rural
1928,Rural
1929,Core
1930,Core
1931,Core
1932,Core
1933,CitiesTowns
1934,CitiesTowns
1935,CitiesTowns
1936,CitiesTowns
1937,CitiesTowns
1938,CitiesTowns
1939,CitiesTowns
1940,Rural
1941,CitiesTowns
1942,CitiesTowns
1943,Rural
1944,Rural
1945,Rural
1946,Rural
1947,Rural
1948,Rural
1949,Rural
1950,Rural
1951,Rural
1952,CitiesTowns
1953,CitiesTowns
1954,CitiesTowns
1955,CitiesTowns
1956,CitiesTowns
1957,CitiesTowns
1958,CitiesTowns
1959,CitiesTowns
1960,CitiesTowns
1961,CitiesTowns
1962,CitiesTowns
1963,CitiesTowns
1964,CitiesTowns
1965,CitiesTowns
1966,CitiesTowns
1967,CitiesTowns
1968,CitiesTowns
1969,Core
1970,Core
1971,Core
1972,CitiesTowns
1973,CitiesTowns
1974,Core
1975,Core
1976,CitiesTowns
1977,Core
1978,Rural
1979,Rural
1980,Rural
1981,CitiesTowns
1982,Rural
1983,CitiesTowns
1984,CitiesTowns
1985,CitiesTowns
1986,Rural
1987,CitiesTowns
1988,CitiesTowns
1989,CitiesTowns
1990,CitiesTowns
1991,CitiesTowns
1992,Rural
1993,Rural
1994,Rural
1995,Rural
1996,Rural
1997,Rural
1998,Rural
1999,Rural
2000,Rural
2001,Rural
2002,Rural
2003,Rural
2004,Rural
2005,CitiesTowns
2006,Rural
2007,CitiesTowns
2008,CitiesTowns
2009,CitiesTowns
2010,CitiesTowns
2011,CitiesTowns
2012,CitiesTowns
2013,CitiesTowns
2014,CitiesTowns
2015,CitiesTowns
2016,Rural
2017,Rural
2018,Rural
2019,Rural
2020,Rural
2021,CitiesTowns
2022,CitiesTowns
2023,CitiesTowns
2024,CitiesTowns
2025,CitiesTowns
2026,CitiesTowns
2027,Rural
2028,UU
2029,Rural
2030,Rural
2031,Rural
2032,Rural
2033,CitiesTowns
2034,Rural
2035,Rural
2036,Rural
2037,Rural
2038,Rural
2039,Rural
2040,Rural
2041,Rural
2042,Rural
2043,Rural
2044,CitiesTowns
2045,CitiesTowns
2046,Rural
2047,Rural
2048,Rural
2049,Rural
2050,Rural
2051,Rural
2052,Rural
2053,Rural
2054,Rural
2055,Rural
2056,Rural
2057,Rural
2058,Rural
2059,Core
2060,Rural
2061,Rural
2062,Rural
2063,Rural
2064,Rural
2065,Rural
2066,CitiesTowns
2067,CitiesTowns
2068,Rural
2069,CitiesTowns
2070,CitiesTowns
2071,Rural
2072,Rural
2073,Rural
2074,Rural
2075,Rural
2076,Rural
2077,CitiesTowns
2078,CitiesTowns
2079,CitiesTowns
2080,Rural
2081,Rural
2082,Rural
2083,Rural
2084,Rural
2085,Rural
2086,Rural
2087,Rural
2088,Rural
2089,Rural
2090,Rural
2091,Rural
2092,Rural
2093,Rural
2094,Rural
2095,Rural
2096,Rural
2097,CitiesTowns
2098,CitiesTowns
2099,CitiesTowns
2100,CitiesTowns
2101,Rural
2102,Rural
2103,Rural
2104,Rural
2105,Rural
2106,Rural
2107,Rural
2108,Rural
2109,CitiesTowns
2110,Rural
2111,Rural
2112,Rural
2113,Rural
2114,Rural
2115,HCT
2116,Rural
2117,HCT
2118,HCT
2119,HCT
2120,Rural
2121,HCT
2122,HCT
2123,HCT
2124,Rural
2125,Rural
2126,HCT
2127,HCT
2128,HCT
2129,HCT
2130,Rural
2131,Rural
2132,Rural
2133,Rural
2134,Rural
2135,Rural
2136,Rural
2137,Rural
2138,Rural
2139,Rural
2140,Rural
2141,Rural
2142,Rural
2143,HCT
2144,HCT
2145,HCT
2146,HCT
2147,HCT
2148,HCT
2149,Rural
2150,Rural
2151,Rural
2152,Rural
2153,CitiesTowns
2154,Rural
2155,Rural
2156,Rural
