id,6to7_board,6to7_time,7to8_board,7to8_time,8to9_board,8to9_time
232,30.99126434,30.04839134,35.52254868,30.9446907,31.67668533,30.41267967
233,5.165210724,30.04839134,5.920424938,30.9446907,5.279447079,30.41267967
234,152.9151001,32.69445419,205.212265,32.79890823,181.1144104,32.75511169
235,78.89019012,30.17063713,104.8481674,30.45287323,80.99063873,30.27742767
236,92.06401825,32.57789993,122.4160385,32.90440369,94.70867157,32.68756866
237,24.60688782,45.55583572,25.82974434,46.95419693,23.50307083,45.91779709
238,149.305603,43.95991898,165.8201141,44.3512001,125.9164352,44.02135849
239,49.21377563,45.55583572,51.65948868,46.95419693,47.00614166,45.91779709
240,118.9715271,43.40301895,145.5873718,43.97969818,112.1342163,43.54512405
241,52.69253922,45.80651474,51.92517853,47.60148239,54.28421783,46.21216583
242,26.34626961,45.80651474,25.96258926,47.60148239,27.14210892,46.21216583
243,7.475870609,29.43886948,8.774755478,30.71985054,8.404176712,29.68624687
244,15.23920727,29.05766869,17.54951096,30.31877708,16.90569878,29.30049896
245,19.10114098,57.05295944,24.54273415,57.55194473,21.02826309,57.24864578
246,111.6461258,45.4759407,133.1562195,46.1342659,97.13686371,45.59355164
247,46.70653915,48.00833893,52.47664261,50.0437851,46.74811554,48.6129837
248,46.20565033,48.17842865,52.47664261,50.23374939,46.60209656,48.78762054
249,124.58358,36.1899147,141.8057709,36.77133942,113.7300568,36.33901215
250,112.6637192,74.89431763,105.0975113,76.88047028,86.81373596,75.88856506
251,10.19593048,43.38655853,10.49050808,44.09890747,7.448372841,43.7918663
252,24.55303574,33.21694565,24.6115036,33.66386795,17.899683,33.4662323
253,24.55303574,31.17246246,24.6115036,31.56622314,17.899683,31.39230347
254,80.16836548,75.30952454,92.01862335,77.27941132,75.816185,76.33274841
255,27.37683487,32.38294601,30.70199203,32.89619827,25.10319328,32.55138779
256,142.0687103,37.8783493,147.1430511,38.3193779,106.4782867,37.94633865
257,86.95367432,39.37891769,95.069664,40.62747192,64.78143311,39.73846817
258,32.67658615,42.61529922,39.43862534,43.01966095,32.14234543,42.80703735
259,0,11.50194168,0,11.51970005,0,11.51761055
260,0,14.68436909,0,14.79439735,0,14.74313927
261,3.782509565,11.92523575,5.721887112,12.3306036,3.741495371,12.01076794
262,0,12.67567444,0.100000001,12.69815922,0.100000001,12.69122887
263,88.54130554,39.98888397,89.20824432,43.68013763,57.57775497,40.65106201
264,14.61278057,34.6091156,14.49807262,38.16699982,9.403091431,35.20726013
265,44.27065277,39.98888397,44.60412216,43.68013763,28.78887749,40.65106201
266,61.72702789,37.49075699,63.94511414,38.38676834,54.74737167,37.82778549
267,58.45112228,34.6091156,57.9922905,38.16699982,37.61236572,35.20726013
268,73.8473053,73.20252991,69.79449463,78.65896606,42.92066956,74.47341919
269,64.68578339,24.45089149,71.17921448,24.95796013,43.0331192,24.71228409
270,25.01510239,24.51894951,21.27779007,25.58980751,19.07240295,25.15714645
271,39.61701584,56.65203857,41.92552185,57.83864594,32.14644241,57.1855545
272,66.02836609,56.65203857,69.87586212,57.83864594,53.57740784,57.1855545
273,26.41134262,56.65203857,27.9503479,57.83864594,21.43096542,57.1855545
