TAZ,District,County,SeattleOrNot
1091,4,King,Not Seattle
1092,4,King,Not Seattle
1093,4,King,Not Seattle
1094,4,King,Not Seattle
1095,4,King,Not Seattle
1096,4,King,Not Seattle
1097,4,King,Not Seattle
1098,4,King,Not Seattle
1099,4,King,Not Seattle
1100,4,King,Not Seattle
1101,4,King,Not Seattle
1102,4,King,Not Seattle
1103,4,King,Not Seattle
1104,4,King,Not Seattle
1105,4,King,Not Seattle
1106,4,King,Not Seattle
1107,4,King,Not Seattle
1108,4,King,Not Seattle
1109,4,King,Not Seattle
1110,4,King,Not Seattle
1111,4,King,Not Seattle
1112,4,King,Not Seattle
1113,4,King,Not Seattle
1114,4,King,Not Seattle
1115,4,King,Not Seattle
1116,4,King,Not Seattle
1117,4,King,Not Seattle
1118,4,King,Not Seattle
1119,4,King,Not Seattle
1120,4,King,Not Seattle
1121,4,King,Not Seattle
1122,4,King,Not Seattle
1123,4,King,Not Seattle
1124,4,King,Not Seattle
1125,4,King,Not Seattle
1126,4,King,Not Seattle
1127,4,King,Not Seattle
1128,4,King,Not Seattle
1129,4,King,Not Seattle
1130,4,King,Not Seattle
1131,4,King,Not Seattle
1132,4,King,Not Seattle
1133,4,King,Not Seattle
1134,4,King,Not Seattle
1135,4,King,Not Seattle
1136,4,King,Not Seattle
1137,4,King,Not Seattle
1138,4,King,Not Seattle
1139,4,King,Not Seattle
1140,4,King,Not Seattle
1141,4,King,Not Seattle
1142,4,King,Not Seattle
1143,4,King,Not Seattle
1144,4,King,Not Seattle
1145,4,King,Not Seattle
1146,4,King,Not Seattle
1147,4,King,Not Seattle
1148,4,King,Not Seattle
1149,4,King,Not Seattle
1150,4,King,Not Seattle
1151,4,King,Not Seattle
1152,4,King,Not Seattle
1153,4,King,Not Seattle
1154,4,King,Not Seattle
1155,4,King,Not Seattle
1156,4,King,Not Seattle
1157,4,King,Not Seattle
1158,4,King,Not Seattle
1159,4,King,Not Seattle
1160,4,King,Not Seattle
1161,4,King,Not Seattle
1162,4,King,Not Seattle
1163,4,King,Not Seattle
1164,4,King,Not Seattle
1165,4,King,Not Seattle
1166,4,King,Not Seattle
1167,4,King,Not Seattle
1168,4,King,Not Seattle
1169,4,King,Not Seattle
1170,4,King,Not Seattle
1171,5,King,Not Seattle
1172,4,King,Not Seattle
1173,4,King,Not Seattle
1174,4,King,Not Seattle
1175,4,King,Not Seattle
1176,4,King,Not Seattle
1177,4,King,Not Seattle
1178,4,King,Not Seattle
1179,4,King,Not Seattle
1180,4,King,Not Seattle
1181,4,King,Not Seattle
1182,4,King,Not Seattle
1183,4,King,Not Seattle
1184,4,King,Not Seattle
1185,4,King,Not Seattle
1186,4,King,Not Seattle
